altitude,longitude,latitude,speed,timestamp,altitude_smooth
189.20000000000005,-1463253179,453471619,2.084,2025-06-01 16:18:01,191.50666666666666
189.20000000000005,-1463253406,453471619,2.042,2025-06-01 16:18:02,191.61935483870968
189.20000000000005,-1463253625,453471619,2.007,2025-06-01 16:18:03,191.73125
189.39999999999998,-1463253893,453471619,2.03,2025-06-01 16:18:04,191.84242424242424
189.39999999999998,-1463254176,453471642,2.058,2025-06-01 16:18:05,191.95294117647057
189.39999999999998,-1463254445,453471709,2.062,2025-06-01 16:18:06,192.06285714285713
189.60000000000002,-1463254717,453471799,2.087,2025-06-01 16:18:07,192.17222222222222
189.79999999999995,-1463254996,453471892,2.206,2025-06-01 16:18:08,192.28108108108108
189.79999999999995,-1463255268,453471983,2.231,2025-06-01 16:18:09,192.38947368421054
190.0,-1463255492,453472116,2.161,2025-06-01 16:18:10,192.49743589743588
190.0,-1463255674,453472299,2.19,2025-06-01 16:18:11,192.605
190.20000000000005,-1463255858,453472549,2.227,2025-06-01 16:18:12,192.71219512195123
190.39999999999998,-1463255995,453472869,2.634,2025-06-01 16:18:13,192.8190476190476
190.60000000000002,-1463256134,453473169,2.97,2025-06-01 16:18:14,192.92093023255813
191.0,-1463256270,453473419,2.711,2025-06-01 16:18:15,193.02272727272728
191.39999999999998,-1463256360,453473690,2.657,2025-06-01 16:18:16,193.12444444444446
191.60000000000002,-1463256495,453473961,2.609,2025-06-01 16:18:17,193.2217391304348
192.0,-1463256631,453474164,2.324,2025-06-01 16:18:18,193.31914893617022
192.20000000000005,-1463256807,453474280,2.188,2025-06-01 16:18:19,193.4125
192.60000000000002,-1463257082,453474261,2.188,2025-06-01 16:18:20,193.50204081632654
192.79999999999995,-1463257312,453474081,2.389,2025-06-01 16:18:21,193.588
193.0,-1463257495,453473807,2.708,2025-06-01 16:18:22,193.67058823529413
193.20000000000005,-1463257544,453473532,2.746,2025-06-01 16:18:23,193.75384615384615
193.39999999999998,-1463257453,453473283,2.514,2025-06-01 16:18:24,193.83396226415095
193.79999999999995,-1463257361,453473053,2.314,2025-06-01 16:18:25,193.91111111111113
194.0,-1463257269,453472822,2.208,2025-06-01 16:18:26,193.9890909090909
194.20000000000005,-1463257178,453472596,2.325,2025-06-01 16:18:27,194.06785714285712
194.39999999999998,-1463257088,453472347,2.517,2025-06-01 16:18:28,194.14736842105262
194.60000000000002,-1463256997,453472142,2.567,2025-06-01 16:18:29,194.22758620689658
194.79999999999995,-1463256908,453471966,2.378,2025-06-01 16:18:30,194.3084745762712
195.0,-1463256818,453471740,2.185,2025-06-01 16:18:31,194.39
195.20000000000005,-1463256680,453471485,2.402,2025-06-01 16:18:32,194.55999999999997
195.39999999999998,-1463256501,453471216,2.666,2025-06-01 16:18:33,194.73666666666668
195.60000000000002,-1463256323,453470949,2.75,2025-06-01 16:18:34,194.91666666666666
195.79999999999995,-1463256139,453470694,2.831,2025-06-01 16:18:35,195.09666666666666
196.0,-1463255912,453470443,2.907,2025-06-01 16:18:36,195.28000000000003
196.20000000000005,-1463255680,453470188,2.898,2025-06-01 16:18:37,195.46666666666667
196.39999999999998,-1463255495,453469912,3.014,2025-06-01 16:18:38,195.65
196.60000000000002,-1463255268,453469640,3.152,2025-06-01 16:18:39,195.83333333333334
196.79999999999995,-1463255043,453469459,2.856,2025-06-01 16:18:40,196.02
197.0,-1463254813,453469298,2.521,2025-06-01 16:18:41,196.20333333333335
197.20000000000005,-1463254583,453469137,2.494,2025-06-01 16:18:42,196.39
197.20000000000005,-1463254404,453468980,2.469,2025-06-01 16:18:43,196.57333333333332
197.39999999999998,-1463254223,453468777,2.469,2025-06-01 16:18:44,196.75666666666666
197.60000000000002,-1463254041,453468528,2.628,2025-06-01 16:18:45,196.93666666666664
197.60000000000002,-1463253859,453468188,2.847,2025-06-01 16:18:46,197.11333333333332
197.79999999999995,-1463253675,453467798,3.286,2025-06-01 16:18:47,197.28333333333333
197.79999999999995,-1463253495,453467436,3.66,2025-06-01 16:18:48,197.45333333333332
197.79999999999995,-1463253311,453467069,3.659,2025-06-01 16:18:49,197.61666666666667
197.79999999999995,-1463253081,453466724,3.66,2025-06-01 16:18:50,197.78000000000003
197.79999999999995,-1463252762,453466405,3.691,2025-06-01 16:18:51,197.94333333333333
198.0,-1463252396,453466109,3.833,2025-06-01 16:18:52,198.10666666666668
198.0,-1463251981,453465857,3.868,2025-06-01 16:18:53,198.27
198.0,-1463251530,453465701,3.724,2025-06-01 16:18:54,198.43333333333334
198.20000000000005,-1463251080,453465588,3.648,2025-06-01 16:18:55,198.6
198.39999999999998,-1463250636,453465477,3.582,2025-06-01 16:18:56,198.76333333333332
198.60000000000002,-1463250182,453465408,3.498,2025-06-01 16:18:57,198.92999999999998
198.79999999999995,-1463249763,453465339,3.498,2025-06-01 16:18:58,199.1
199.0,-1463249443,453465203,3.498,2025-06-01 16:18:59,199.27333333333337
199.20000000000005,-1463249179,453465047,3.14,2025-06-01 16:19:00,199.44666666666666
199.39999999999998,-1463248867,453464892,2.727,2025-06-01 16:19:01,199.62333333333333
199.79999999999995,-1463248577,453464678,2.83,2025-06-01 16:19:02,199.8033333333333
200.0,-1463248397,453464453,2.907,2025-06-01 16:19:03,199.98666666666668
200.20000000000005,-1463248260,453464159,2.881,2025-06-01 16:19:04,200.17333333333335
200.39999999999998,-1463248168,453463836,2.881,2025-06-01 16:19:05,200.36
200.60000000000002,-1463248078,453463523,2.881,2025-06-01 16:19:06,200.55
200.60000000000002,-1463248076,453463156,2.881,2025-06-01 16:19:07,200.73999999999998
200.79999999999995,-1463248122,453462788,2.881,2025-06-01 16:19:08,200.92999999999998
201.0,-1463248167,453462407,2.881,2025-06-01 16:19:09,201.12333333333336
201.0,-1463248299,453462027,2.881,2025-06-01 16:19:10,201.31666666666666
201.20000000000005,-1463248437,453461667,2.951,2025-06-01 16:19:11,201.51333333333332
201.20000000000005,-1463248529,453461300,3.107,2025-06-01 16:19:12,201.70999999999998
