altitude,longitude,latitude,speed,timestamp,altitude_smooth
1039.6,-1405863890.0,534321289.0,0.0,2025-06-22 14:51:05,1038.9066666666668
1039.4,-1405863890.0,534321289.0,0.0,2025-06-22 14:51:06,1038.858064516129
1039.2,-1405863890.0,534321289.0,0.0,2025-06-22 14:51:07,1038.80625
1039.2,-1405863960.0,534321306.0,0.0,2025-06-22 14:51:08,1038.7515151515152
1039.0,-1405864176.0,534321334.0,0.0,2025-06-22 14:51:09,1038.6941176470589
1039.0,-1405864449.0,534321334.0,0.0,2025-06-22 14:51:10,1038.6342857142856
1039.0,-1405864722.0,534321334.0,0.0,2025-06-22 14:51:11,1038.5777777777778
1039.0,-1405865029.0,534321351.0,0.0,2025-06-22 14:51:12,1038.5243243243244
1039.0,-1405865429.0,534321380.0,0.918,2025-06-22 14:51:13,1038.4736842105262
1039.0,-1405865917.0,534321397.0,2.789,2025-06-22 14:51:14,1038.4307692307693
1039.0,-1405866460.0,534321425.0,3.499,2025-06-22 14:51:15,1038.395
1039.0,-1405867078.0,534321425.0,3.984,2025-06-22 14:51:16,1038.3658536585365
1039.0,-1405867844.0,534321425.0,4.746,2025-06-22 14:51:17,1038.3428571428572
1039.0,-1405868696.0,534321425.0,5.164,2025-06-22 14:51:18,1038.320930232558
1039.0,-1405869639.0,534321425.0,5.622,2025-06-22 14:51:19,1038.3045454545454
1039.0,-1405870606.0,534321425.0,6.101,2025-06-22 14:51:20,1038.2888888888888
1039.2,-1405871585.0,534321408.0,6.228,2025-06-22 14:51:21,1038.2782608695652
1039.2,-1405872679.0,534321380.0,6.544,2025-06-22 14:51:22,1038.2723404255319
1039.2,-1405873736.0,534321380.0,6.8,2025-06-22 14:51:23,1038.2708333333333
1039.4,-1405874769.0,534321362.0,6.917,2025-06-22 14:51:24,1038.273469387755
1039.2,-1405875865.0,534321334.0,7.109,2025-06-22 14:51:25,1038.28
1039.2,-1405876959.0,534321334.0,6.997,2025-06-22 14:51:26,1038.2901960784313
1039.0,-1405878053.0,534321334.0,6.797,2025-06-22 14:51:27,1038.3038461538463
1038.8,-1405879108.0,534321334.0,6.797,2025-06-22 14:51:28,1038.3207547169811
1038.6,-1405880109.0,534321317.0,6.797,2025-06-22 14:51:29,1038.3407407407408
1038.4,-1405881109.0,534321289.0,6.797,2025-06-22 14:51:30,1038.3600000000001
1038.2,-1405882143.0,534321289.0,6.8,2025-06-22 14:51:31,1038.382142857143
1038.0,-1405883236.0,534321289.0,6.851,2025-06-22 14:51:32,1038.4035087719299
1037.8,-1405884293.0,534321289.0,6.925,2025-06-22 14:51:33,1038.4241379310345
1037.6,-1405885332.0,534321271.0,6.925,2025-06-22 14:51:34,1038.4406779661017
1037.4,-1405886457.0,534321209.0,6.925,2025-06-22 14:51:35,1038.4566666666667
1037.2,-1405887606.0,534321152.0,6.925,2025-06-22 14:51:36,1038.45
1037.0,-1405888698.0,534321152.0,6.925,2025-06-22 14:51:37,1038.4433333333334
1036.8,-1405889787.0,534321152.0,6.94,2025-06-22 14:51:38,1038.4366666666667
1036.6,-1405890885.0,534321152.0,6.996,2025-06-22 14:51:39,1038.4266666666667
1036.6,-1405891943.0,534321152.0,7.047,2025-06-22 14:51:40,1038.4166666666667
1036.6,-1405892942.0,534321135.0,6.843,2025-06-22 14:51:41,1038.4033333333332
1036.6,-1405893874.0,534321089.0,6.271,2025-06-22 14:51:42,1038.39
1036.8,-1405894624.0,534321044.0,5.407,2025-06-22 14:51:43,1038.3766666666666
1037.0,-1405895193.0,534321015.0,3.988,2025-06-22 14:51:44,1038.3633333333332
1037.2,-1405895613.0,534321015.0,2.936,2025-06-22 14:51:45,1038.3466666666666
1037.4,-1405896011.0,534321015.0,2.942,2025-06-22 14:51:46,1038.33
1037.4,-1405896467.0,534321015.0,3.041,2025-06-22 14:51:47,1038.31
1037.6,-1405896957.0,534321015.0,3.228,2025-06-22 14:51:48,1038.2833333333333
1037.6,-1405897468.0,534321015.0,3.297,2025-06-22 14:51:49,1038.25
1037.8,-1405897992.0,534321067.0,3.56,2025-06-22 14:51:50,1038.2066666666667
1038.0,-1405898561.0,534321256.0,4.103,2025-06-22 14:51:51,1038.1533333333332
1038.2,-1405899015.0,534321580.0,4.314,2025-06-22 14:51:52,1038.09
1038.4,-1405899333.0,534322060.0,4.605,2025-06-22 14:51:53,1038.0233333333333
1038.6,-1405899424.0,534322671.0,5.359,2025-06-22 14:51:54,1037.9566666666667
1038.8,-1405899480.0,534323338.0,6.107,2025-06-22 14:51:55,1037.8866666666665
1039.0,-1405899480.0,534324086.0,6.597,2025-06-22 14:51:56,1037.8233333333333
1039.2,-1405899446.0,534324877.0,7.01,2025-06-22 14:51:57,1037.76
1039.4,-1405899389.0,534325695.0,7.284,2025-06-22 14:51:58,1037.7033333333334
1039.4,-1405899389.0,534326565.0,7.816,2025-06-22 14:51:59,1037.65
1039.6,-1405899389.0,534327501.0,8.41,2025-06-22 14:52:00,1037.6033333333335
1039.6,-1405899389.0,534328433.0,8.647,2025-06-22 14:52:01,1037.5566666666666
1039.6,-1405899355.0,534329389.0,8.799,2025-06-22 14:52:02,1037.5133333333333
1039.4,-1405899298.0,534330344.0,9.003,2025-06-22 14:52:03,1037.4766666666667
1039.4,-1405899298.0,534331317.0,8.865,2025-06-22 14:52:04,1037.4433333333334
1039.2,-1405899298.0,534332316.0,8.647,2025-06-22 14:52:05,1037.4166666666667
1039.0,-1405899263.0,534333324.0,8.8,2025-06-22 14:52:06,1037.3966666666668
1038.8,-1405899207.0,534334325.0,9.003,2025-06-22 14:52:07,1037.3833333333334
1038.6,-1405899207.0,534335338.0,9.016,2025-06-22 14:52:08,1037.3733333333332
1038.4,-1405899207.0,534336404.0,9.31,2025-06-22 14:52:09,1037.3666666666666
1038.2,-1405899207.0,534337477.0,9.836,2025-06-22 14:52:10,1037.3633333333335
